STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
"30","047","94000","01940569","3004794000",Woods Bay-Rollins,Woods Bay-Rollins CCD,"22",Z5,G4040,,,,S,"1244455140","124185128","+47.7447498","-113.9229808","0","136322","147","10173","3989","1026","34","11919","20934","1129638","4606","120384","31682","13310","866","24712","10962"
"30","087","92491","01940680","3008792491",North of the Yellowstone,North of the Yellowstone CCD,"22",Z5,G4040,,,,S,"6907420086","28474203","+46.4862156","-106.8780844","0","28477","0","15458","8882","3268","307","11815","625","45393","0","3163018","3929239","34433","389810","17542","58308"
"30","087","92457","01940677","3008792457",Northern Cheyenne Reservation,Northern Cheyenne Reservation CCD,"22",Z5,G4040,,,,S,"981136702","59019","+45.5530652","-106.5319085","0","1171","0","4467","1929","877","195","31","59","295301","0","223858","532745","2489","1984","11258","13882"
"30","013","90231","01940568","3001390231",Belt,Belt CCD,"22",Z5,G4040,,,,S,"1260211081","2237898","+47.3713218","-110.9343972","0","2895","0","10250","6110","733","57","135","2770","97167","4933","483438","342520","20027","416683","9553","5442"
"30","013","91029","01940606","3001391029",Eden-Stockett,Eden-Stockett CCD,"22",Z5,G4040,,,,S,"1031536615","3307555","+47.2372472","-111.2076210","0","3978","0","6536","2525","257","46","164","38","231186","563","363925","330036","22825","176372","6734","4674"
"30","013","92373","01940674","3001392373",Monarch-Neihart,Monarch-Neihart CCD,"22",Z5,G4040,,,,S,"660220690","0","+47.0091584","-110.8081153","0","15","0","3422","1579","818","13","237","108","613081","3322","84844","24294","435","1269","135","2"
"30","017","92310","01940671","3001792310",Miles City,Miles City CCD,"22",Z5,G4040,,,,S,"668992444","9794088","+46.3661871","-105.9324905","0","13062","0","9534","10006","6946","1249","122","82","28995","0","185194","396974","9546","71561","7239","13689"
"30","017","92415","01940675","3001792415",North Custer,North Custer CCD,"22",Z5,G4040,,,,S,"1599817555","5275993","+46.6638510","-105.9214527","0","4878","0","6875","3321","461","35","578","79","4067","0","162153","1477382","7651","107419","947","7581"
"30","057","91680","01940641","3005791680",Harrison,Harrison CCD,"22",Z5,G4040,,,,S,"1305894260","3963328","+45.6453444","-111.8207431","0","6945","7","10916","2601","290","37","4388","825","344254","412","505124","441066","37507","81542","5065","14440"
"30","057","93045","01940705","3005793045",Sheridan,Sheridan CCD,"22",Z5,G4040,,,,S,"923446297","1514690","+45.3924577","-112.1618858","0","1919","4","11154","3982","901","81","1473","548","269349","157","316427","230419","80127","92689","3641","14847"
"30","071","91186","01940567","3007191186",Fort Belknap Reservation,Fort Belknap Reservation CCD,"22",Z5,G4040,,,,S,"490700097","4433274","+48.1894073","-108.3704846","0","5683","0","1923","684","31","4","713","1240","33554","55","99470","336971","18255","21556","6963","23049"
"30","071","93864","01940743","3007193864",Whitewater,Whitewater CCD,"22",Z5,G4040,,,,S,"3510848168","11675549","+48.7655050","-107.7023875","337","11812","0","23206","3042","284","22","1076","2567","437","14","778245","2270447","22403","735129","8854","56048"
"30","095","90693","01940590","3009590693",Columbus,Columbus CCD,"22",Z5,G4040,,,,S,"797168579","8314479","+45.6069634","-109.3211837","0","7223","0","6419","4331","3736","991","74","13","113019","0","271716","386757","26047","56552","14535","3607"
"30","107","91869","01940650","3010791869",Judith Gap-Shawmut,Judith Gap-Shawmut CCD,"22",Z5,G4040,,,,S,"1587460147","8342211","+46.4619638","-109.6074996","0","11234","0","6623","2346","827","101","641","289","18356","24","243769","1016386","73799","361541","14581","22603"
"30","047","91123","01940612","3004791123",Flathead Reservation,Flathead Reservation CCD,"22",Z5,G4040,,,,S,"2615824479","299372092","+47.5569415","-114.1663265","0","326247","1709","50337","35636","8953","1484","40497","3365","1007298","521","181939","716990","302086","485607","39467","36976"
"30","091","92709","01940692","3009192709",Plentywood,Plentywood CCD,"22",Z5,G4040,,,,S,"2073493509","4721295","+48.8200471","-104.7142329","4","6700","0","27381","12828","2967","429","933","5810","309","926","135530","885868","59080","1152784","1062","16528"
"30","091","92268","01940669","3009192268",Medicine Lake,Medicine Lake CCD,"22",Z5,G4040,,,,S,"1071633988","49849588","+48.5241402","-104.2795283","0","62815","0","19487","9422","1288","104","656","108","31","168","6729","366739","55923","683410","646","38583"
"30","091","91260","01940620","3009191260",Fort Peck Reservation,Fort Peck Reservation CCD,"22",Z5,G4040,,,,S,"502911767","0","+48.5592770","-104.6821834","0","540","0","5602","2805","222","18","109","645","0","52","18507","192104","16882","309799","591","10908"
"30","059","93843","01940742","3005993843",White Sulphur Springs,White Sulphur Springs CCD,"22",Z5,G4040,,,,S,"3468122672","3609953","+46.7448482","-111.1048062","0","5191","0","14799","5280","1345","236","2951","1264","1615295","752","1118088","851529","93232","113972","15007","18575"
"30","067","94019","02628701","3006794019",Yellowstone National Park,Yellowstone National Park CCD,"22",Z5,G4040,,,,S,"376083124","1307247","+45.0226823","-110.6170826","18","1663","0","538","428","169","5","1503","472","190728","13","183068","35193","0","32","2759","2715"
"30","071","92205","01940666","3007192205",Malta,Malta CCD,"22",Z5,G4040,,,,S,"4861745583","57273163","+48.3174250","-107.8973701","0","67298","0","38260","12317","2230","317","2297","35","626","1","1285483","2820050","171000","928247","13127","124334"
"30","031","94017","02628700","3003194017",Yellowstone National Park,Yellowstone National Park CCD,"22",Z5,G4040,,,,S,"260556113","958034","+44.8090839","-111.0770298","22","376","0","878","488","53","2","41","258","130410","6","113183","33564","0","0","5985","5322"
"30","053","92058","01940659","3005392058",Libby,Libby CCD,"22",Z5,G4040,,,,S,"4414811295","75492473","+48.3360026","-115.3383877","0","81110","1342","27988","19633","8274","812","24054","2513","3836769","2252","784972","161559","1757","95","19513","16630"
"30","053","93612","01940731","3005393612",Troy,Troy CCD,"22",Z5,G4040,,,,S,"2700402450","14055400","+48.6497620","-115.8348347","32","14792","22","17247","4937","1267","127","9254","583","2611902","1138","252931","82814","1089","50","9391","8449"
"30","031","90305","02583871","3003190305",Big Sky,Big Sky CCD,"22",Z5,G4040,,,,S,"1108129823","2861806","+45.2082173","-111.1286890","0","2157","0","9838","2363","944","63","2929","3028","938222","1139","200176","63817","26","0","5335","4377"
"30","043","90399","01940576","3004390399",Boulder,Boulder CCD,"22",Z5,G4040,,,,S,"2473063375","813627","+46.2951439","-112.1125856","0","1216","0","16652","10632","4302","353","4730","121","1741075","1068","399040","482974","37558","28173","10348","10512"
"30","043","93822","01940741","3004393822",Whitehall,Whitehall CCD,"22",Z5,G4040,,,,S,"1818181429","5810871","+45.9410291","-112.0806481","0","7550","0","14425","10689","3501","229","3421","9","649439","1038","363188","810282","68699","64357","9299","20543"
"30","111","91806","01940647","3011191806",Huntley Project,Huntley Project CCD,"22",Z5,G4040,,,,S,"879588795","12520977","+45.9383521","-107.9555593","0","16886","0","8653","15806","5411","380","311","73","48708","0","380337","229470","29453","208798","21639","25327"
"30","111","93024","01940704","3011193024",Shepherd,Shepherd CCD,"22",Z5,G4040,,,,S,"135349452","2096509","+45.9236882","-108.3547786","0","3474","0","6086","5908","1778","463","404","18","289","0","28231","28834","19246","43415","8040","6528"
"30","111","92426","01940579","3011192426",Northeast Yellowstone,Northeast Yellowstone CCD,"22",Z5,G4040,,,,S,"2309922185","9069903","+46.2216910","-107.9715965","0","9059","0","3594","2592","1436","157","173","38","76219","0","1322383","987640","16285","143813","6086","7183"
"30","111","93297","01940717","3011193297",South Yellowstone,South Yellowstone CCD,"22",Z5,G4040,,,,S,"1703612793","6263436","+45.6364909","-108.3957223","0","6719","0","12370","8019","4039","447","319","87","66849","7","979214","461357","8863","321765","23130","6683"
"30","111","91995","01940656","3011191995",Laurel,Laurel CCD,"22",Z5,G4040,,,,S,"181035154","3939995","+45.7033357","-108.7147290","0","5393","0","11708","14692","12405","5819","195","35","355","0","15745","16119","8682","93827","14646","5905"
"30","083","91113","01940610","3008391113",Fairview,Fairview CCD,"22",Z5,G4040,,,,S,"2113011727","20696402","+47.9935725","-104.6004133","2","25312","0","24330","11582","4399","365","1666","14520","4155","9842","202847","1377763","52662","583983","23711","33627"
"30","083","93108","01940708","3008393108",Sidney,Sidney CCD,"22",Z5,G4040,,,,S,"292422066","7547733","+47.7255987","-104.1780498","1","9011","0","5068","10071","6559","1922","634","1504","74","367","15644","145763","3214","118340","8644","6494"
"30","083","92982","01940702","3008392982",Savage-Crane,Savage-Crane CCD,"22",Z5,G4040,,,,S,"1145426935","15944999","+47.5075399","-104.2893724","3","19036","0","11788","8213","2376","180","1267","5937","2408","2009","136519","745905","8507","299357","22822","24081"
"30","083","91974","01940655","3008391974",Lambert,Lambert CCD,"22",Z5,G4040,,,,S,"1847456344","5399271","+47.7557087","-104.7292408","0","3209","0","22600","6652","2455","210","809","12081","1147","1299","135974","1160518","35893","666569","1785","7544"
"30","059","92247","01940668","3005992247",Martinsdale-Ringling,Martinsdale-Ringling CCD,"22",Z5,G4040,,,,S,"2726788642","3864628","+46.4309186","-110.6880773","0","3933","32","10701","2676","479","59","2019","1907","988077","626","722441","1113114","72226","93243","9680","12812"
"30","097","93213","01940713","3009793213",South of the Yellowstone,South of the Yellowstone CCD,"22",Z5,G4040,,,,S,"2000168457","6061851","+45.5391363","-110.0098375","0","10793","518","6392","7605","2780","519","9921","1569","674411","381","914766","500770","26796","27054","16144","28743"
"30","003","92436","01940676","3000392436",Northern Cheyenne Reservation,Northern Cheyenne Reservation CCD,"22",Z5,G4040,,,,S,"824346562","287807","+45.5103008","-106.8967800","0","99","0","4160","1264","201","21","9","2012","158473","48","357147","346516","9070","9881","18003","9341"
"30","003","90850","01940728","3000390850",Decker,Decker CCD,"22",Z5,G4040,,,,S,"1572723300","8937018","+45.1143356","-106.6580593","7","15534","0","8130","798","266","75","24913","755","139384","4","922977","617064","4478","2861","9354","10796"
"30","001","90273","01940570","3000190273",Big Hole Basin,Big Hole Basin CCD,"22",Z5,G4040,,,,S,"4294244805","7992526","+45.5728694","-113.4119222","3","7806","760","16471","3199","947","77","38083","1701","2589018","63","1144299","927227","13677","0","11103","25903"
"30","001","90924","01940601","3000190924",Dillon,Dillon CCD,"22",Z5,G4040,,,,S,"3519241340","3310198","+45.2583831","-112.7011325","0","4290","104","17211","15144","12721","1665","15285","247","772415","102","1150991","1515728","161175","223000","9348","14460"
"30","031","90189","01940566","3003190189",Belgrade,Belgrade CCD,"22",Z5,G4040,,,,S,"1852421117","3864296","+45.9604094","-111.0386719","0","1810","0","29247","18427","11148","2125","11510","1710","655903","1712","738731","249350","108451","206145","12006","14230"
"30","031","90420","01940577","3003190420",Bozeman,Bozeman CCD,"22",Z5,G4040,,,,S,"653714551","649065","+45.6429556","-110.9701781","0","537","0","34129","24160","17474","2975","1469","4248","358413","2251","120692","29429","63347","60681","3826","3429"
"30","031","93528","01940727","3003193528",Three Forks,Three Forks CCD,"22",Z5,G4040,,,,S,"748983793","10157291","+45.9000706","-111.4616341","0","7838","0","9367","5814","1750","395","116","43","65742","17","241306","323849","56097","103868","5965","21339"
"30","061","90042","01940559","3006190042",Alberton,Alberton CCD,"22",Z5,G4040,,,,S,"769572727","2200316","+46.9093590","-114.6466888","2","2521","4","1188","1757","1973","31","1083","16","540632","83","276857","21510","3113","2328","2175","2269"
"30","061","93759","01940738","3006193759",West End,West End CCD,"22",Z5,G4040,,,,S,"1155801176","2831407","+47.3460297","-115.3218988","1","2924","0","5633","4311","4449","621","5898","546","1112202","1185","122023","21123","587","801","1389","3646"
"30","097","92499","01940681","3009792499",North of the Yellowstone,North of the Yellowstone CCD,"22",Z5,G4040,,,,S,"2805464098","11577996","+45.9859181","-109.9061697","0","14358","510","10875","2298","848","81","13307","180","301855","188","711514","1807053","45291","134687","36845","50149"
"30","075","92583","01940686","3007592583",Otter,Otter CCD,"22",Z5,G4040,,,,S,"3579244284","459707","+45.3931978","-105.9874619","11","2456","0","13229","2503","442","31","151","171","556770","17","1382799","1884233","19711","58597","13584","42749"
"30","053","91071","01940608","3005391071",Eureka,Eureka CCD,"22",Z5,G4040,,,,S,"2241652199","71530801","+48.7940161","-115.0449964","69","75382","2","17453","9936","3552","440","2492","2210","1890584","3202","425584","109616","10150","2194","7313","9929"
"30","009","91827","01940648","3000991827",Joliet,Joliet CCD,"22",Z5,G4040,,,,S,"507099532","4607390","+45.5220240","-108.9914559","0","4620","0","6503","3409","914","189","121","44","37332","4","232795","137636","34726","85360","20553","4352"
"30","009","92772","01940694","3000992772",Red Lodge,Red Lodge CCD,"22",Z5,G4040,,,,S,"1776184535","16281900","+45.0870626","-109.5583968","3","17567","4893","14898","2911","1131","286","66866","16943","461311","1442","992456","297346","51619","21431","29257","11287"
"30","107","91659","01940640","3010791659",Harlowton,Harlowton CCD,"22",Z5,G4040,,,,S,"2096748526","4668714","+46.4953430","-110.0535337","0","5818","0","14436","3419","2018","324","837","26","284346","180","274349","1341616","81107","240854","28249","57320"
"30","049","91722","01940643","3004991722",Helena,Helena CCD,"22",Z5,G4040,,,,S,"795748218","29865182","+46.6008083","-112.0418379","0","32226","0","23532","36335","28241","6357","834","15","297455","740","85456","281311","37160","80942","3118","3632"
"30","049","90105","01940562","3004990105",Augusta,Augusta CCD,"22",Z5,G4040,,,,S,"3443246565","22730170","+47.4595887","-112.6049430","0","15631","132","8412","3612","526","137","111864","1453","1102686","4045","1662044","781355","15231","105028","13488","25425"
"30","049","93990","01940749","3004993990",Wolf Creek,Wolf Creek CCD,"22",Z5,G4040,,,,S,"1890592237","43641135","+46.9417621","-111.9370610","0","47458","0","8476","7630","3102","190","210","970","896092","20460","553655","580001","5932","20993","3536","437"
"30","021","91491","01940632","3002191491",Glendive,Glendive CCD,"22",Z5,G4040,,,,S,"2545303979","22690547","+47.0758043","-104.7569039","0","26044","0","14860","17026","7818","2252","2289","23138","55448","6620","331948","1984081","37629","312143","15373","16669"
"30","021","92782","01940597","3002192782",Richey,Richey CCD,"22",Z5,G4040,,,,S,"3598560295","6589417","+47.4266047","-104.9833844","0","8734","0","27264","10541","1924","102","681","34147","11343","2613","317358","2136524","60559","1362083","15143","16692"
"30","081","93339","01940719","3008193339",Stevensville,Stevensville CCD,"22",Z5,G4040,,,,S,"951586078","4055027","+46.5460354","-114.0703374","2","5277","122","23694","12207","2276","571","1521","44","381957","13","251474","201497","120142","24166","4508","32383"
"30","015","90294","01940571","3001590294",Big Sandy,Big Sandy CCD,"22",Z5,G4040,,,,S,"3653110082","18124126","+48.0527038","-110.0703080","0","19043","0","33235","12224","1456","100","795","14841","79853","2586","527600","1557087","55008","1700615","42210","32516"
"30","015","91386","01940626","3001591386",Geraldine,Geraldine CCD,"22",Z5,G4040,,,,S,"2350665947","16057154","+47.5240798","-110.4196559","0","18206","0","20993","10153","910","49","1395","4628","174389","5258","629200","744629","48070","897564","13781","60447"
"30","103","93255","01940715","3010393255",South Treasure,South Treasure CCD,"22",Z5,G4040,,,,S,"1306836082","1868393","+46.0847587","-107.1946986","0","1592","0","3944","3360","1263","209","56","637","295502","0","493257","553252","14232","59106","7199","20508"
"30","015","91197","01940617","3001591197",Fort Benton,Fort Benton CCD,"22",Z5,G4040,,,,S,"4284997042","28436323","+47.9002935","-110.8054090","0","31254","0","56272","17580","1874","241","1098","1","110","2","326367","1418755","114424","2771835","16689","36214"
"30","109","92667","01940690","3010992667",Pine Hill-St. Phillips,Pine Hill-St. Phillips CCD,"22",Z5,G4040,,,,S,"1198636947","951332","+46.7851582","-104.2744519","1","957","0","11235","2131","595","40","314","6056","64249","6115","285587","609481","60830","280350","2261","2674"
"30","109","93885","01940744","3010993885",Wibaux,Wibaux CCD,"22",Z5,G4040,,,,S,"1102851756","805518","+47.1448422","-104.1675868","6","1526","0","8307","3311","1484","128","205","6763","3764","1204","341356","682792","23284","149972","875","1304"
"30","037","92940","01940701","3003792940",Ryegate,Ryegate CCD,"22",Z5,G4040,,,,S,"932579789","254451","+46.2179150","-109.3518681","0","2060","0","4372","1780","429","84","1101","0","15500","0","229369","564697","17047","184605","6521","8919"
"30","037","92016","01940657","3003792016",Lavina,Lavina CCD,"22",Z5,G4040,,,,S,"2109160625","2367341","+46.4545994","-109.0991765","0","5369","0","6056","1369","426","69","661","1031","223296","77","546103","1243653","37915","249986","12752","17385"
"30","039","92625","01940688","3003992625",Philipsburg,Philipsburg CCD,"22",Z5,G4040,,,,S,"2511545335","12902686","+46.2616853","-113.4252169","0","14026","14","10721","4083","1117","107","6542","472","1683326","209","616458","369037","79457","1856","9932","7580"
"30","055","92487","01940679","3005592487",North McCone,North McCone CCD,"22",Z5,G4040,,,,S,"3787972467","79503109","+47.8827612","-105.7669743","0","89626","0","22003","7587","1576","109","3933","4690","4774","227","846221","2086647","32670","1141298","24494","31320"
"30","073","90714","01940591","3007390714",Conrad,Conrad CCD,"22",Z5,G4040,,,,S,"1911907877","2015047","+48.1521811","-111.8162928","0","1810","0","37607","14401","2384","418","503","2","15","0","52705","392531","43941","1572311","1132","6826"
"30","005","91638","01940639","3000591638",Harlem,Harlem CCD,"22",Z5,G4040,,,,S,"3116361026","2958134","+48.7619597","-108.6249754","11","9532","0","27290","8403","818","109","475","8","154","0","444169","1534557","78549","1282773","10027","69014"
"30","005","91176","01940616","3000591176",Fort Belknap,Fort Belknap CCD,"22",Z5,G4040,,,,S,"2299324620","7313328","+48.1913875","-108.6821527","0","8784","0","8218","5210","464","32","557","3563","91603","384","528575","1467602","53692","299186","31273","63808"
"30","073","93675","01940734","3007393675",Valier-Dupuyer,Valier-Dupuyer CCD,"22",Z5,G4040,,,,S,"1647941709","28241445","+48.2770950","-112.5763779","0","26848","15","16096","3442","894","121","43374","6249","168821","16745","374648","516097","43150","611368","12272","22301"
"30","027","91512","01940633","3002791512",Grass Range,Grass Range CCD,"22",Z5,G4040,,,,S,"2016948770","1028956","+46.9298732","-108.9365621","0","2127","0","6475","2203","86","0","151","28477","429618","1031","813445","710887","13743","152874","45213","35868"
"30","027","93927","01940746","3002793927",Winifred,Winifred CCD,"22",Z5,G4040,,,,S,"1803295535","13981118","+47.6246664","-109.2304046","0","14984","0","6601","2574","225","4","266","0","220827","0","775117","619792","16248","345284","8482","8808"
"30","027","92898","01940699","3002792898",Roy,Roy CCD,"22",Z5,G4040,,,,S,"2244604907","7836105","+47.4116007","-108.6552887","0","8056","0","2869","2628","96","3","333","1152","138917","22","1345931","816965","12343","138635","15471","19285"
"30","027","91596","01940637","3002791596",Hanover,Hanover CCD,"22",Z5,G4040,,,,S,"1543194779","1091456","+47.2833996","-109.4743540","0","2476","0","10913","1778","156","3","149","7002","210292","794","593501","428008","10453","394024","35293","21074"
"30","063","91304","01940622","3006391304",Frenchtown-Wye,Frenchtown-Wye CCD,"22",Z5,G4040,,,,S,"860164852","5227862","+47.0982589","-114.3911646","0","4008","0","9801","8697","4978","773","1398","291","613355","369","145058","85916","45461","24822","4156","12421"
"30","063","93003","01940703","3006393003",Seeley Lake-Blackfoot Valley,Seeley Lake-Blackfoot Valley CCD,"22",Z5,G4040,,,,S,"2602194558","43020804","+47.2167724","-113.5930004","0","39325","2379","16480","4489","1224","119","60412","8523","2027418","3593","421234","264876","21413","7144","52540","7953"
"30","063","92142","01940663","3006392142",Lolo,Lolo CCD,"22",Z5,G4040,,,,S,"1389476207","5744589","+46.8032477","-114.3480677","1","7052","1","15154","13112","4211","506","254","82","1037280","106","286401","136948","14895","3608","5330","25302"
"30","025","92730","01940693","3002592730",Plevna,Plevna CCD,"22",Z5,G4040,,,,S,"1797862746","1378742","+46.3819924","-104.6598538","0","1253","0","6077","1857","586","60","121","436","12992","177","438160","1305656","24965","198541","1804","6477"
"30","063","91128","01940611","3006391128",Flathead Reservation,Flathead Reservation CCD,"22",Z5,G4040,,,,S,"421213978","2178384","+47.1224749","-113.9107306","0","1756","0","1673","631","238","14","2657","148","359710","111","27060","58202","8926","6093","2319","889"
"30","063","92331","01940672","3006392331",Missoula,Missoula CCD,"22",Z5,G4040,,,,S,"1442927757","8299962","+46.8547043","-113.8526238","0","7130","3","20295","34367","31753","6868","4191","257","940138","1628","374190","137923","23486","9547","6918","13782"
"30","001","90651","01940588","3000190651",Clark Canyon-Horse Prairie,Clark Canyon-Horse Prairie CCD,"22",Z5,G4040,,,,S,"3232237765","20300977","+44.9461548","-113.0482657","3","20434","0","10248","6557","4871","203","2144","62","765482","1","1463850","1188633","118450","5893","6505","20637"
"30","001","92079","01940660","3000192079",Lima-Centennial Valley,Lima-Centennial Valley CCD,"22",Z5,G4040,,,,S,"3309770399","46741871","+44.6490915","-112.2859960","26","48804","0","14464","3286","2097","86","895","1996","561900","538","2359559","454945","34136","5115","27071","214557"
"30","111","90315","01940572","3011190315",Billings,Billings CCD,"22",Z5,G4040,,,,S,"145072748","3442543","+45.7932363","-108.5273336","0","4770","0","20325","25041","50057","24780","159","10","1802","0","9697","7140","1743","8729","8105","2648"
"30","111","92541","01940684","3011192541",Northwest Yellowstone,Northwest Yellowstone CCD,"22",Z5,G4040,,,,S,"1466149890","2531198","+45.9512553","-108.7039726","0","21686","0","14993","9420","6146","901","2454","5","47744","0","639301","481094","48069","343643","2080","14322"
"30","011","90052","01940662","3001190052",Alzada-Boyes,Alzada-Boyes CCD,"22",Z5,G4040,,,,S,"5932742005","16793537","+45.3669738","-104.5662452","3","13802","0","16958","7272","1372","62","1928","1522","97771","40","1989649","3999854","79007","332059","14304","55004"
"30","103","92520","01940683","3010392520",North Treasure,North Treasure CCD,"22",Z5,G4040,,,,S,"1225655953","15281568","+46.3392193","-107.3958369","0","21128","0","3074","3634","1017","105","3841","64","50995","0","755995","390043","3762","93478","16572","35115"
